,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年
japan,84.4,85.8,87.5,88.3,86.9,87.3,88,88.9,89.3,89.2
english,7.2,6.6,6,5.9,6.8,6.6,5.9,5,4.7,4.8
german,3.3,3,2.5,2.2,2.4,2.2,2,1.9,1.8,1.7
othereurope,2,2.3,2.1,1.8,1.5,1.5,1.6,1.4,1.4,1.3
korean,0,0,0.1,0.1,0.2,0.4,0.6,0.9,1.1,0.9
france,1.1,1,0.8,0.8,0.9,0.8,0.8,0.8,0.7,0.6
england,0.7,0.6,0.6,0.5,0.5,0.5,0.4,0.5,0.4,0.4
italian,0.4,0.3,0.3,0.3,0.2,0.3,0.3,0.2,0.2,0.2
canada,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
australia,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1
china,0,0,0,0,0,0,0,0,0,0
russhian,0.2,-,0,0,-,0,0,0,0,0
other,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.7
total,100,100,100,100,100,100,100,100,100,100
